SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
12,13.59,184.6881,11.53846154,133.1360947
12,22.53,507.6009,10.81081081,116.8736304
12,18.48,341.5104,7.692307692,59.17159763
12,18.55,344.1025,5,25
12,7.65,58.5225,4.545454545,20.66115702
12,14.24,202.7776,2.702702703,7.304601899
12,29.74,884.4676,1.851851852,3.429355281
12,16.24,263.7376,12.90322581,166.4932362
12,32.25,1040.0625,13.63636364,185.9504132
12,14.53,211.1209,5.882352941,34.60207612
12,20.67,427.2489,4.081632653,16.65972511
12,11.52,132.7104,3.571428571,12.75510204
12,18.16,329.7856,11.76470588,138.4083045
13,27.64,763.9696,25.53191489,651.8786781
13,13.1,171.61,11.11111111,123.4567901
13,7.52,56.5504,5,25
13,26,676,20.93023256,438.0746349
13,6.18,38.1924,6.666666667,44.44444444
13,21.1,445.21,13.95348837,194.6998378
13,26.36,694.8496,12.92307692,167.0059172
13,12.42,154.2564,8,64
13,30.49,929.6401,11.11111111,123.4567901
13,21.47,460.9609,9.302325581,86.53326122
13,23.87,569.7769,16.66666667,277.7777778
13,26.84,720.3856,8.333333333,69.44444444
13,30.79,948.0241,3.773584906,14.23994304
13,31.79,1010.6041,18.33333333,336.1111111
13,27.67,765.6289,11.53846154,133.1360947
13,25.08,629.0064,10,100
13,27.11,734.9521,3.571428571,12.75510204
13,10.24,104.8576,3.448275862,11.89060642
13,9.21,84.8241,8.695652174,75.61436673
13,18.71,350.0641,18.60465116,346.1330449
13,26.05,678.6025,16.32653061,266.5556018
13,9.32,86.8624,15.78947368,249.3074792
13,20.34,413.7156,15,225
13,21.95,481.8025,15,225
13,18.67,348.5689,14.28571429,204.0816327
13,22.82,520.7524,13.95348837,194.6998378
13,27.1,734.41,13.63636364,185.9504132
13,17.08,291.7264,13.51351351,182.6150475
13,24.59,604.6681,13.33333333,177.7777778
13,20.23,409.2529,12.90322581,166.4932362
13,18.22,331.9684,12.82051282,164.365549
13,23.15,535.9225,12.82051282,164.365549
13,25.13,631.5169,12.5,156.25
13,26.44,699.0736,12.5,156.25
13,16.62,276.2244,11.76470588,138.4083045
13,23.23,539.6329,11.62790698,135.2082207
13,28.52,813.3904,11.32075472,128.1594874
13,30.39,923.5521,11.11111111,123.4567901
13,27.34,747.4756,9.090909091,82.6446281
13,22.63,512.1169,8.510638298,72.43096424
13,14.7,216.09,8.333333333,69.44444444
13,15.82,250.2724,8.333333333,69.44444444
13,15.93,253.7649,8.333333333,69.44444444
13,21.24,451.1376,8.333333333,69.44444444
