SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
35,26.87,721.73,24.74,611.91
30,26.87,721.73,14.74,217.17
35,39.33,1546.85,22.78,518.89
27,35.80,1281.64,27.72,768.64
29,25.04,626.75,20.22,409.04
30,23.15,535.69,11.46,131.29
28,23.15,535.69,11.46,131.29
32,24.65,607.62,23.33,544.44
31,24.65,607.62,23.33,544.44
9,20.89,436.18,7.23,52.26
6,8.66,74.91,15.63,244.14
6,20.89,436.18,7.23,52.26
2,14.39,206.93,1.61,2.60
0,14.39,206.93,1.61,2.60
17,18.88,356.45,17.65,311.42
7,26.43,698.28,8.18,66.94
8,18.94,358.72,15.00,225.00
6,18.94,358.72,15.00,225.00
9,14.06,197.68,13.33,177.78
8,14.06,197.68,13.33,177.78
8,15.93,253.61,2.90,8.40
8,21.18,448.38,12.35,152.42
6,21.57,465.26,11.69,136.62
9,20.27,410.67,11.24,126.25
7,26.62,708.62,12.09,146.12
8,20.74,429.94,13.86,192.14
8,11.52,132.60,11.36,129.13
7,11.52,132.60,11.36,129.13
19,25.10,629.76,20.20,408.12
18,25.10,629.76,20.20,408.12
8,14.39,206.93,2.67,7.11
7,14.39,206.93,2.67,7.11
8,12.88,165.77,4.55,20.66
7,10.46,109.31,5.13,26.30
8,18.64,347.45,7.89,62.33
7,17.90,320.41,8.05,64.74
8,19.00,361.00,7.14,51.02
7,24.30,590.49,16.36,267.77
7,24.30,590.49,16.36,267.77
8,8.57,73.44,7.41,54.87
15,12.02,144.48,15.79,249.31
8,21.11,445.63,4.76,22.68
8,20.18,407.23,6.02,36.29
6,14.74,217.12,1.32,1.73
8,21.51,462.47,6.52,42.53
2,21.51,462.47,6.52,42.53
7,13.71,187.96,1.49,2.23
6,17.88,319.52,1.14,1.29
21,27.63,763.14,18.63,346.98
8,26.33,693.27,3.57,12.76
6,26.33,693.27,3.57,12.76
8,17.14,293.61,5.41,29.22
8,22.09,487.75,4.21,17.73
8,16.28,265.04,2.22,4.94
7,16.28,265.04,2.22,4.94
5,16.28,265.04,2.22,4.94
6,25.06,627.75,2.78,7.72
6,19.70,387.89,4.46,19.93
6,24.84,617.03,4.35,18.90
8,23.29,542.19,9.41,88.58
21,20.28,411.08,19.23,369.82
9,27.38,749.66,16.36,267.77
8,27.38,749.66,16.36,267.77
9,22.38,500.86,9.09,82.64
7,19.16,366.91,8.22,67.55
2,18.86,355.70,4.26,18.11
19,13.64,185.91,11.82,139.67
6,20.47,419.02,4.12,17.00
8,28.11,789.89,9.80,96.12
8,8.47,71.66,10.81,116.87
6,25.39,644.40,3.66,13.38
6,22.74,517.11,2.13,4.53
8,18.95,358.91,6.76,45.65
3,16.64,276.89,5.26,27.70
8,19.02,361.57,5.68,32.28
6,22.03,485.10,13.04,170.13
8,18.74,351.19,8.11,65.74
22,17.67,312.05,20.29,411.68
8,14.60,213.16,14.29,204.08
8,15.86,251.54,9.86,97.20
6,23.22,538.94,1.90,3.63
7,13.73,188.38,11.76,138.41
9,17.38,302.06,12.82,164.37
4,13.75,189.06,6.90,47.56
7,17.18,295.15,1.96,3.84
5,17.18,295.15,1.96,3.84
1,17.18,295.15,1.96,3.84
9,19.83,393.23,4.65,21.63
6,19.64,385.53,5.59,31.30
5,18.44,339.85,8.99,80.80
8,23.85,568.58,9.18,84.34
6,24.21,585.88,13.10,171.49
5,10.63,112.89,4.71,22.15
8,24.12,581.53,7.61,57.89
9,24.14,582.50,3.92,15.38
8,13.77,189.61,13.79,190.25
8,17.57,308.70,2.44,5.95
8,24.14,582.50,3.92,15.38
7,24.14,582.50,3.92,15.38
6,17.58,309.06,8.86,78.51
7,16.93,286.46,14.08,198.37
8,19.87,394.62,10.47,109.52
2,11.44,130.76,2.96,8.78
7,16.22,262.93,8.75,76.56
7,23.21,538.70,7.07,49.99
8,20.95,438.90,2.80,7.86
8,14.47,209.24,3.51,12.31
7,14.47,209.24,3.51,12.31
9,17.43,303.80,2.70,7.30
6,16.14,260.34,2.90,8.40
5,16.14,260.34,2.90,8.40
8,12.72,161.67,16.07,258.29
9,14.69,215.65,15.52,240.78
8,10.92,119.25,16.67,277.78
6,16.08,258.41,8.22,67.55
8,21.70,470.67,6.06,36.73
6,17.52,306.95,10.45,109.16
4,16.72,279.56,4.35,18.90
8,17.80,316.84,4.76,22.68
0,12.64,159.64,4.00,16.00
8,21.88,478.52,4.60,21.14
16,22.83,521.21,13.48,181.80
7,17.47,305.03,2.67,7.11
8,18.45,340.22,11.59,134.43
8,15.06,226.65,12.70,161.25
8,15.06,226.65,12.70,161.25
8,15.06,226.65,12.70,161.25
7,19.31,372.68,15.85,251.34
6,19.31,372.68,15.85,251.34
6,15.68,245.86,7.69,59.17
8,19.24,369.99,4.71,22.15
8,19.24,369.99,4.71,22.15
5,19.30,372.30,9.41,88.58
28,18.14,329.06,28.36,804.19
8,9.63,92.74,13.64,185.95
7,20.73,429.53,11.58,134.07
8,25.63,656.64,7.62,58.05
7,25.63,656.64,7.62,58.05
6,14.68,215.50,8.82,77.85
5,21.49,461.82,6.06,36.73
7,15.11,228.16,13.04,170.13
7,16.03,256.96,14.93,222.77
5,18.00,324.00,3.90,15.18
1,18.00,324.00,3.90,15.18
8,15.47,239.32,6.33,40.06
5,19.17,367.49,8.96,80.22
8,22.20,492.84,10.68,114.05
2,25.31,640.60,6.45,41.62
20,26.46,700.13,23.08,532.54
9,18.64,347.26,2.35,5.54
8,20.82,433.47,8.89,79.01
7,23.27,541.49,9.80,96.12
2,14.85,220.37,4.41,19.46
7,23.86,569.30,9.26,85.73
8,10.72,114.81,10.26,105.19
8,18.83,354.57,1.20,1.45
11,22.07,486.86,14.77,218.23
10,12.81,164.10,9.38,87.89
13,19.47,379.08,24.00,576.00
12,19.47,379.08,24.00,576.00
14,15.35,235.47,12.31,151.48
13,10.04,100.80,9.09,82.64
10,15.35,235.47,12.31,151.48
9,28.11,790.17,11.67,136.11
14,24.72,610.83,10.09,101.84
14,18.26,333.43,5.13,26.30
12,21.82,475.89,9.41,88.58
14,19.79,391.45,6.90,47.56
12,19.55,382.01,16.00,256.00
11,21.12,446.05,10.59,112.11
9,21.12,446.05,10.59,112.11
12,26.05,678.34,8.55,73.05
22,16.38,268.30,23.53,553.63
14,21.44,459.46,10.96,120.10
13,35.66,1271.64,5.36,28.70
12,33.68,1134.34,16.42,269.55
9,29.36,862.01,20.00,400.00
10,26.43,698.28,8.18,66.94
22,27.07,732.78,24.77,613.58
9,26.16,684.35,14.89,221.82
9,20.51,420.66,6.52,42.53
16,13.56,183.87,14.06,197.75
14,30.16,909.63,12.20,148.72
14,24.90,620.01,7.87,61.86
12,20.11,404.21,4.40,19.32
10,13.56,183.87,14.06,197.75
10,24.90,620.01,7.87,61.86
13,16.35,267.32,18.18,330.58
10,16.79,281.74,5.19,26.99
9,16.79,281.74,5.19,26.99
14,26.77,716.37,14.91,222.38
12,24.42,596.09,8.85,78.31
12,14.06,197.68,13.33,177.78
12,21.18,448.38,12.35,152.42
11,21.78,474.15,19.48,379.49
11,17.27,298.08,17.72,314.05
10,20.27,410.67,11.24,126.25
9,19.99,399.60,11.90,141.72
13,20.74,429.94,13.86,192.14
11,11.52,132.60,11.36,129.13
10,13.31,177.16,8.20,67.19
10,20.44,417.79,4.17,17.36
13,27.24,742.02,9.62,92.46
10,16.35,267.32,5.41,29.22
9,21.94,481.14,5.23,27.34
9,27.24,742.02,9.62,92.46
10,22.68,514.38,12.00,144.00
9,22.68,514.38,12.00,144.00
23,27.58,760.66,21.15,447.49
14,20.73,429.53,24.00,576.00
11,12.88,165.77,4.55,20.66
9,12.88,165.77,4.55,20.66
12,28.18,794.11,4.95,24.51
9,24.24,587.58,18.37,337.36
9,22.41,502.21,4.44,19.75
12,17.90,320.41,8.05,64.74
9,19.17,367.49,14.58,212.67
12,21.24,451.14,5.00,25.00
9,21.24,451.14,5.00,25.00
12,23.12,534.30,23.08,532.54
11,12.79,163.58,3.13,9.77
14,28.11,790.17,13.56,183.86
13,22.84,521.67,18.52,342.94
12,25.48,649.23,18.48,341.45
12,12.02,144.48,10.79,116.41
11,18.76,351.94,13.33,177.78
11,30.56,933.91,7.20,51.84
11,17.42,303.28,4.40,19.32
9,17.42,303.28,4.40,19.32
13,29.01,841.29,7.34,53.87
12,19.32,373.26,14.32,205.19
14,24.49,599.76,14.58,212.67
10,24.49,599.76,14.58,212.67
9,15.34,235.32,2.86,8.16
9,15.34,235.32,2.86,8.16
9,15.34,235.32,2.86,8.16
14,16.97,287.98,16.92,286.39
11,18.48,341.33,11.76,138.41
10,16.28,265.04,2.22,4.94
10,21.89,478.95,9.18,84.34
10,21.89,478.95,9.18,84.34
10,19.94,397.60,9.76,95.18
9,23.11,533.84,17.86,318.88
9,20.22,408.65,4.81,23.11
14,24.84,617.03,4.35,18.90
12,19.70,387.89,4.46,19.93
14,24.64,606.88,12.75,162.44
13,11.34,128.60,8.70,75.61
12,17.54,307.65,14.71,216.26
10,25.25,637.31,7.48,55.90
10,25.25,637.31,7.48,55.90
12,17.88,319.52,5.63,31.74
9,18.59,345.59,5.75,33.03
14,21.54,463.76,20.78,431.78
14,23.24,539.87,5.43,29.54
13,21.54,463.76,20.78,431.78
12,21.54,463.76,20.78,431.78
11,23.24,539.87,5.43,29.54
11,15.98,255.20,22.22,493.83
23,20.28,411.08,19.23,369.82
13,15.96,254.72,2.44,5.95
11,22.85,521.89,3.00,9.00
25,24.75,612.56,27.66,765.05
13,11.27,126.90,10.00,100.00
11,16.17,261.31,13.11,172.00
10,11.27,126.90,10.00,100.00
14,24.60,604.91,21.18,448.44
13,26.87,722.00,16.96,287.79
13,16.64,276.72,12.86,165.31
11,16.84,283.42,16.67,277.78
11,25.60,655.10,11.46,131.29
11,12.94,167.31,3.08,9.47
14,23.07,532.22,4.17,17.36
10,12.00,143.88,5.17,26.75
10,21.00,440.79,5.06,25.64
14,29.38,862.89,23.08,532.54
13,21.44,459.67,14.29,204.08
12,16.64,276.89,5.26,27.70
9,18.95,358.91,6.76,45.65
14,25.69,659.72,9.17,84.17
14,25.69,659.72,9.17,84.17
11,19.02,361.57,5.68,32.28
14,11.13,123.77,5.77,33.28
13,24.50,600.01,7.77,60.33
13,14.60,213.16,14.29,204.08
12,20.83,433.68,6.45,41.62
11,15.86,251.54,9.86,97.20
21,21.08,444.16,25.32,640.92
12,20.19,407.43,6.41,41.09
10,20.19,407.43,6.41,41.09
10,17.99,323.46,6.94,48.23
9,15.15,229.37,10.29,105.97
13,24.15,582.98,11.21,125.78
11,17.38,302.06,12.82,164.37
11,16.59,275.06,4.30,18.50
13,26.95,726.30,11.70,136.94
10,18.68,348.76,6.74,45.45
12,24.39,594.87,14.29,204.08
11,16.11,259.37,7.59,57.68
21,29.14,848.85,21.70,470.81
13,18.14,328.88,18.06,326.00
11,18.14,328.88,18.06,326.00
11,18.14,328.88,18.06,326.00
10,16.26,264.39,12.82,164.37
24,12.46,155.13,23.08,532.54
19,12.46,155.13,13.08,171.01
13,19.63,385.34,12.50,156.25
10,13.99,195.72,17.39,302.46
24,16.05,257.44,23.73,563.06
12,19.64,385.53,7.59,57.68
11,25.11,630.51,13.68,187.01
13,21.34,455.40,6.80,46.19
12,17.39,302.41,12.50,156.25
11,17.39,302.41,12.50,156.25
11,21.34,455.40,6.80,46.19
10,17.39,302.41,12.50,156.25
9,21.21,449.65,11.49,132.12
9,18.83,354.57,11.36,129.13
10,23.85,568.58,9.18,84.34
10,21.36,456.25,10.26,105.19
13,24.80,614.79,16.09,258.95
13,19.39,375.97,12.00,144.00
14,25.58,654.08,4.04,16.32
10,25.58,654.08,4.04,16.32
9,17.58,309.06,8.86,78.51
9,17.57,308.70,2.44,5.95
13,10.56,111.51,14.63,214.16
12,18.52,342.99,5.75,33.03
14,13.77,189.48,23.40,547.76
12,26.60,707.29,10.91,119.01
11,13.77,189.48,23.40,547.76
11,19.61,384.55,13.85,191.72
11,28.92,836.08,13.56,183.86
13,19.16,366.91,3.88,15.08
10,20.02,400.60,7.78,60.49
9,10.51,110.36,12.33,151.94
12,11.44,130.76,12.96,168.04
12,11.44,130.76,12.96,168.04
12,11.44,130.76,12.96,168.04
11,23.78,565.25,11.76,138.41
18,23.26,541.03,22.89,524.02
12,17.16,294.47,14.49,210.04
12,17.16,294.47,14.49,210.04
12,17.16,294.47,14.49,210.04
9,20.95,438.90,2.80,7.86
14,22.78,518.93,15.56,241.98
10,15.95,254.24,5.19,26.99
10,16.14,260.50,18.52,342.94
10,17.84,318.09,11.76,138.41
9,15.95,254.24,5.19,26.99
14,27.92,779.53,7.27,52.89
12,12.96,167.96,22.22,493.83
11,17.22,296.36,10.91,119.01
11,24.01,576.24,5.71,32.65
10,24.01,576.24,5.71,32.65
13,27.25,742.29,7.45,55.45
11,13.27,176.09,12.28,150.82
10,20.02,400.80,5.00,25.00
